combineId,playerId,height,weight,forty,twenty,threecone,vertical,broad,bench,college,year
GreeA.00Combine,GreeA.00,76,211,4.48,4.21,6.91,34.5,126,18,Georgia,2011
RodgAa00Combine,RodgAa00,74,223,4.71,4.32,7.39,34.5,110,0,California,2005
PeteAd01Combine,PeteAd01,74,217,4.4,4.4,0,38.5,127,0,Oklahoma,2007
BradAh00Combine,BradAh00,70,198,4.55,4.09,0,34,112,0,Marshall,2007
WilsAl02Combine,WilsAl02,69,202,4.43,4.21,7,37.5,123,10,Georgia State,2014
SmitAl03Combine,SmitAl03,76,217,4.71,3.97,0,32,113,0,Utah,2005
BlueAl00Combine,BlueAl00,74,223,4.63,4.5,7.15,32,121,13,LSU,2014
MorrAl00Combine,MorrAl00,70,219,4.67,4.19,7.01,35,117,16,Florida Atlantic,2012
HurnAl01Combine,HurnAl01,73,198,4.55,4.5,7.23,31,120,14,Miami,2014
RobiAl02Combine,RobiAl02,74,220,4.6,4,7,39,127,0,Penn St.,2014
JeffAl00Combine,JeffAl00,74.875,216,4.48,4.17,6.71,36.5,122,0,South Carolina,2012
CoopAm00Combine,CoopAm00,73,211,4.42,3.98,6.71,33,120,0,Alabama,2015
AbduAm00Combine,AbduAm00,69,205,4.6,3.95,6.79,42.5,130,24,Nebraska,2015
CaldAn00Combine,CaldAn00,73,204,4.35,4.11,0,33,124,0,Florida,2008
ElliAn00Combine,ElliAn00,69,199,4.61,0,0,34,122,0,Clemson,2013
HolmAn00Combine,HolmAn00,76,210,4.51,4.31,6.69,35,130,11,,2011
JohnAn02Combine,JohnAn02,74,230,4.4,4.1,0,39,132,17,Miami (FL),2003
RobeAn00Combine,RobeAn00,71,195,4.4,4.15,6.77,36,120,15,Citadel,2010
LuckAn00Combine,LuckAn00,76,234,4.67,4.28,6.8,36,124,0,Stanford,2012
QuarAn00Combine,QuarAn00,77,254,4.68,0,0,32,112,23,Penn State,2010
DaltAn00Combine,DaltAn00,74,215,4.83,4.27,0,29.5,106,0,TCU,2011
BoldAn00Combine,BoldAn00,73,216,4.72,4.33,7.35,33.5,114,0,Florida State,2003
DixoAn00Combine,DixoAn00,73,233,4.67,4.49,0,33,121,15,Mississippi State,2010
FasaAn00Combine,FasaAn00,76,259,4.86,4.34,0,33.5,0,19,Notre Dame,2006
SherAn00Combine,SherAn00,70,242,4.74,4.41,0,32.5,111,32,Connecticut,2011
AndrAn00Combine,AndrAn00,70,225,4.82,4.49,7.24,29.5,106,20,Western Kentucky,2014
BrowAn04Combine,BrowAn04,70,186,4.56,4.18,6.98,33.5,105,13,Central Michigan,2010
FostAr00Combine,FostAr00,73,226,4.68,0,0,0,0,23,,2009
DaviAu00Combine,DaviAu00,73,219,0,4.11,6.73,31,109,0,,2012
SefeAu00Combine,SefeAu00,77,262,0,0,0,0,0,20,Washington,2014
RoetBe00Combine,RoetBe00,77,241,4.75,0,0,0,0,0,Miami (OH),2004
WatsBe00Combine,WatsBe00,76,258,4.57,4.15,0,35.5,123,34,Georgia,2004
FowlBe00Combine,FowlBe00,73,217,4.52,4.18,7.06,36,126,0,Michigan St.,2014
PierBe00Combine,PierBe00,72,218,4.49,4.28,7.07,36,123,17,Temple,2012
PoweBi00Combine,PoweBi00,71,207,4.51,0,0,0,0,18,Louisville,2011
SankBi00Combine,SankBi00,69,209,4.49,4,6.75,35.5,126,26,Washington,2014
GabbBl00Combine,GabbBl00,76,234,4.61,4.26,0,33.5,120,0,Missouri,2011
BellBl00Combine,BellBl00,78,252,4.8,4.32,0,33,116,14,Oklahoma,2015
BortBl00Combine,BortBl00,77,232,4.93,4.21,7.08,32.5,115,0,Central Florida,2014
CookBr00Combine,CookBr00,70,189,4.33,3.81,6.76,36,120,16,Oregon St.,2014
BoldBr00Combine,BoldBr00,71,222,4.66,4.44,6.96,38,119,21,,2012
ColeBr00Combine,ColeBr00,78,225,4.56,4.51,7.33,32.5,0,21,Rutgers,2014
LaFeBr00Combine,LaFeBr00,75,211,4.58,4.23,6.81,36,115,11,LSU,2010
MarsBr00Combine,MarsBr00,77,229,4.52,4.31,6.96,37,120,0,UCF,2006
PettBr00Combine,PettBr00,78,263,4.8,4.37,0,33,118,22,Oklahoma State,2009
WeedBr00Combine,WeedBr00,76,221,4.89,4.45,7.36,32,102,0,Oklahoma State,2012
HartBr00Combine,HartBr00,74,195,4.52,4.12,6.65,34.5,120,0,Ohio State,2009
HoyeBr00Combine,HoyeBr00,74,215,5.02,4.42,0,32,109,0,,2009
QuicBr00Combine,QuicBr00,76,220,4.55,4.23,7.1,34,119,15,Appalachian State,2012
OsweBr00Combine,OsweBr00,79,242,0,0,0,0,0,0,Arizona State,2012
ElliBr00Combine,ElliBr00,69,197,4.45,3.95,6.69,39.5,120,15,South Carolina,2014
MillBr02Combine,MillBr02,73,254,4.81,4.34,0,31,113,35,UCF,2011
AndeC.00Combine,AndeC.00,68,224,4.6,4.12,7.15,32,119,17,,2013
FiedC.00Combine,FiedC.00,77,265,4.76,4.26,7.1,31.5,116,25,Iowa,2014
SpilC.00Combine,SpilC.00,71,196,4.27,0,0,0,0,18,Clemson,2010
SantCa01Combine,SantCa01,68,164,0,0,0,0,0,0,Tulane,2014
JohnCa00Combine,JohnCa00,77,239,4.35,0,0,42.5,139,0,Georgia Tech,2007
NewtCa00Combine,NewtCa00,77,248,4.56,4.18,6.92,35,126,0,Auburn,2011
