playerId,fname,lname,team
RivePh00,Philip,Rivers,SDG
BreeDr00,Drew,Brees,NOR
BradTo00,Tom,Brady,NWE
MannEl00,Eli,Manning,NYG
RyanMa00,Matt,Ryan,ATL
BortBl00,Blake,Bortles,JAX
StafMa00,Matthew,Stafford,DET
TannRy00,Ryan,Tannehill,MIA
CarrDe02,Derek,Carr,OAK
RodgAa00,Aaron,Rodgers,GNB
FitzRy00,Ryan,Fitzpatrick,NYJ
CousKi00,Kirk,Cousins,WAS
PalmCa00,Carson,Palmer,ARI
WinsJa00,Jameis,Winston,TAM
BradSa00,Sam,Bradford,PHI
NewtCa00,Cam,Newton,CAR
CutlJa00,Jay,Cutler,CHI
WilsRu00,Russell,Wilson,SEA
SmitAl03,Alex,Smith,KAN
RoetBe00,Ben,Roethlisberger,PIT
BridTe00,Teddy,Bridgewater,MIN
FlacJo00,Joe,Flacco,BAL
DaltAn00,Andy,Dalton,CIN
TaylTy00,Tyrod,Taylor,BUF
MariMa01,Marcus,Mariota,TEN
HoyeBr00,Brian,Hoyer,HOU
FoleNi00,Nick,Foles,STL
MannPe00,Peyton,Manning,DEN
LuckAn00,Andrew,Luck,IND
McCoJo01,Josh,McCown,CLE
GabbBl00,Blaine,Gabbert,SFO
OsweBr00,Brock,Osweiler,DEN
HassMa00,Matt,Hasselbeck,IND
KaepCo00,Colin,Kaepernick,SFO
MallRy00,Ryan,Mallett,2TM
ManzJo00,Johnny,Manziel,CLE
CassMa00,Matt,Cassel,2TM
MettZa00,Zach,Mettenberger,TEN
WeedBr00,Brandon,Weeden,2TM
ClauJi00,Jimmy,Clausen,2TM
KeenCa00,Case,Keenum,STL
RomoTo00,Tony,Romo,DAL
McCaA.00,A.J.,McCarron,CIN
MoorKe02,Kellen,Moore,DAL
DaviAu00,Austin,Davis,CLE
SancMa00,Mark,Sanchez,PHI
ManuEJ00,EJ,Manuel,BUF
SchaMa00,Matt,Schaub,BAL
VickMi00,Michael,Vick,PIT
YateT.00,T.J.,Yates,HOU
JoneLa02,Landry,Jones,PIT
SmitGe00,Geno,Smith,NYJ
OrloDa00,Dan,Orlovsky,DET
McCoLu00,Luke,McCown,NOR
McGlMa01,Matt,McGloin,OAK
WhitCh02,Charlie,Whitehurst,2TM
FreeJo00,Josh,Freeman,IND
StanDr00,Drew,Stanton,ARI
TannAl00,Alex,Tanney,TEN
McCoCo00,Colt,McCoy,WAS
LindRy00,Ryan,Lindley,IND
HillSh00,Shaun,Hill,MIN
MannSe00,Sean,Mannion,STL
RenfSe00,Sean,Renfree,ATL
AndeDe00,Derek,Anderson,CAR
