receivingId,playerId,receptions,catchPerc,yards,yardsPerRec,touchdowns,yardsPerGame
BrowAn04Receiving,BrowAn04,136,70.5,1834,13.5,10,114.6
JoneJu02Receiving,JoneJu02,136,67,1871,13.8,8,116.9
HopkDe00Receiving,HopkDe00,111,57.8,1521,13.7,11,95.1
LandJa00Receiving,LandJa00,110,66.3,1157,10.5,4,72.3
FitzLa00Receiving,FitzLa00,109,75.2,1215,11.1,9,75.9
MarsBr00Receiving,MarsBr00,109,63,1502,13.8,14,93.9
ThomDe03Receiving,ThomDe03,105,59.3,1304,12.4,6,81.5
BeckOd00Receiving,BeckOd00,96,60.8,1450,15.1,13,96.7
WalkHu00Receiving,WalkHu00,94,70.7,1088,11.6,6,72.5
TateGo00Receiving,TateGo00,90,70.3,813,9,6,50.8
JohnCa00Receiving,JohnCa00,88,59.1,1214,13.8,9,75.9
MaclJe00Receiving,MaclJe00,87,70.2,1088,12.5,8,72.5
ReedJo02Receiving,ReedJo02,87,76.3,952,10.9,11,68
GreeA.00Receiving,GreeA.00,86,65.2,1297,15.1,10,81.1
CrabMi00Receiving,CrabMi00,85,58.2,922,10.8,9,57.6
MattJo00Receiving,MattJo00,85,67.5,997,11.7,8,62.3
CookBr00Receiving,CookBr00,84,65.1,1138,13.5,9,71.1
DeckEr00Receiving,DeckEr00,80,60.6,1027,12.8,12,68.5
RiddTh00Receiving,RiddTh00,80,80.8,697,8.7,3,43.6
RobiAl02Receiving,RobiAl02,80,53,1400,17.5,14,87.5
WoodDa02Receiving,WoodDa02,80,75.5,755,9.4,6,47.2
BarnGa01Receiving,BarnGa01,79,63.2,1043,13.2,9,65.2
CobbRa00Receiving,CobbRa00,79,61.2,829,10.5,6,51.8
BaldDo00Receiving,BaldDo00,78,75.7,1069,13.7,14,66.8
OlseGr00Receiving,OlseGr00,77,62.1,1104,14.3,7,69
WittJa00Receiving,WittJa00,77,74,713,9.3,3,44.6
SandEm00Receiving,SandEm00,76,55.9,1135,14.9,6,75.7
AikeKa00Receiving,AikeKa00,75,59.1,944,12.6,5,59
ErtzZa00Receiving,ErtzZa00,75,67,853,11.4,2,56.9
EvanMi00Receiving,EvanMi00,74,50,1206,16.3,3,80.4
WatsBe00Receiving,WatsBe00,74,67.3,825,11.1,6,51.6
FreeDe00Receiving,FreeDe00,73,75.3,578,7.9,3,38.5
CoopAm00Receiving,CoopAm00,72,55.4,1070,14.9,6,66.9
GarcPi00Receiving,GarcPi00,72,64.9,777,10.8,6,48.6
GronRo00Receiving,GronRo00,72,60,1176,16.3,11,78.4
KelcTr00Receiving,KelcTr00,72,69.9,875,12.2,5,54.7
BoldAn00Receiving,BoldAn00,69,62.2,789,11.4,4,56.4
HiltT.00Receiving,HiltT.00,69,51.5,1124,16.3,5,70.3
SneaWi00Receiving,SneaWi00,69,68.3,984,14.3,3,65.6
BenjTr00Receiving,BenjTr00,68,54.4,966,14.2,5,60.4
AlleKe00Receiving,AlleKe00,67,75.3,725,10.8,4,90.6
AmenDa00Receiving,AmenDa00,65,74.7,648,10,3,46.3
BrowJo02Receiving,BrowJo02,65,64.4,1003,15.4,7,66.9
JoneMa02Receiving,JoneMa02,65,63.1,816,12.6,4,51
HurnAl01Receiving,HurnAl01,64,61,1031,16.1,10,68.7
MoncDo00Receiving,MoncDo00,64,61,733,11.5,6,45.8
EdelJu00Receiving,EdelJu00,61,69.3,692,11.3,7,76.9
JohnDu00Receiving,JohnDu00,61,82.4,534,8.8,2,33.4
MillHe00Receiving,MillHe00,60,74.1,535,8.9,2,35.7
WatkSa00Receiving,WatkSa00,60,62.5,1047,17.5,9,80.5
CrowJa00Receiving,CrowJa00,59,75.6,604,10.2,2,37.8
TammJa00Receiving,TammJa00,59,72.8,657,11.1,1,43.8
VereSh00Receiving,VereSh00,59,72.8,494,8.4,4,30.9
RodgRi00Receiving,RodgRi00,58,68.2,510,8.8,8,31.9
RandRu00Receiving,RandRu00,57,63.3,797,14,8,49.8
GateAn00Receiving,GateAn00,56,65.9,630,11.3,5,57.3
SproDa00Receiving,SproDa00,55,66.3,388,7.1,1,24.3
FleeCo00Receiving,FleeCo00,54,64.3,491,9.1,3,30.7
JeffAl00Receiving,JeffAl00,54,57.4,807,14.9,4,89.7
BennMa00Receiving,BennMa00,53,66.3,439,8.3,3,39.9
AustTa00Receiving,AustTa00,52,59.8,473,9.1,5,29.6
