rushingId,playerId,yards,touchdowns,longest,yardsPerAtt,yardsPerGame
PeteAd01Rushing,PeteAd01,1485,11,80,4.5,92.8
MartDo00Rushing,MartDo00,1402,6,84,4.9,87.6
MurrLa00Rushing,MurrLa00,1066,6,54,4,66.6
FreeDe00Rushing,FreeDe00,1056,11,39,4,70.4
GoreFr00Rushing,GoreFr00,967,6,37,3.7,60.4
IvorCh00Rushing,IvorCh00,1070,7,58,4.3,71.3
StewJo00Rushing,StewJo00,989,6,44,4.1,76.1
McFaDa00Rushing,McFaDa00,1089,3,50,4.6,68.1
GurlTo01Rushing,GurlTo01,1106,10,71,4.8,85.1
HillJe01Rushing,HillJe01,794,11,38,3.6,49.6
FortMa00Rushing,FortMa00,898,4,27,4.1,69.1
HillRo00Rushing,HillRo00,863,7,72,4.2,53.9
McCoLe01Rushing,McCoLe01,895,3,48,4.4,74.6
MorrAl00Rushing,MorrAl00,751,1,48,3.7,46.9
WillDe02Rushing,WillDe02,907,11,55,4.5,56.7
JohnCh04Rushing,JohnCh04,814,3,62,4.2,74
JennRa00Rushing,JennRa00,863,3,38,4.4,53.9
MillLa01Rushing,MillLa01,872,8,85,4.5,54.5
MurrDe00Rushing,MurrDe00,702,6,54,3.6,46.8
LacyEd00Rushing,LacyEd00,758,3,29,4.1,50.5
CrowIs00Rushing,CrowIs00,706,4,54,3.8,44.1
GordMe00Rushing,GordMe00,641,0,27,3.5,45.8
BlueAl00Rushing,BlueAl00,698,2,41,3.8,46.5
YeldT.00Rushing,YeldT.00,740,2,45,4.1,61.7
IngrMa01Rushing,IngrMa01,769,6,70,4.6,64.1
BlouLe00Rushing,BlouLe00,703,6,38,4.3,58.6
WestCh01Rushing,WestCh01,634,4,38,4,42.3
BernGi00Rushing,BernGi00,730,2,28,4.7,45.6
AndeC.00Rushing,AndeC.00,720,5,48,4.7,48
ForsJu00Rushing,ForsJu00,641,2,33,4.2,64.1
LangJe00Rushing,LangJe00,537,6,23,3.6,33.6
StarJa00Rushing,StarJa00,601,2,65,4.1,37.6
RawlTh00Rushing,RawlTh00,830,4,69,5.6,63.8
JoneMa04Rushing,JoneMa04,490,3,39,3.4,37.7
